manu_sku,product_name,prod_page_url,updated_on,CASE,Price,Code
S-4513,Kraft Shipping Box 6x6x5,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.66, 0.64, 0.51, 0.49, 0.47]","['C', 'C', 'C', 'C', 'C']"
S-4062,Kraft Shipping Box 6x6x6,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.45, 0.45, 0.45, 0.45, 0.45]","['C', 'C', 'C', 'C', 'C']"
S-21014,Kraft Lightweight Shipping Box 6x6x6 (32 ECT Lightweight),https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.39, 0.39, 0.39, 0.39, 0.39]","['C', 'C', 'C', 'C', 'C']"
S-4428,White Shipping Box 6x6x6,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[1.02, 0.89, 0.76, 0.73, 0.69]","['C', 'C', 'C', 'C', 'C']"
S-4876,Kraft Shipping Box 6x6x6 (275 lb. Test),https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[1.04, 0.95, 0.82, 0.76, 0.73]","['C', 'C', 'C', 'C', 'C']"
S-18180,Kraft Shipping Box 6x6x6 (275 lb. Test DW),https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[1.4, 1.29, 1.18, 1.1, 1.07]","['C', 'C', 'C', 'C', 'C']"
S-16729,Kraft Shipping Box 6x6x7,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.75, 0.7, 0.65, 0.61, 0.58]","['C', 'C', 'C', 'C', 'C']"
S-4882,Kraft Shipping Box 6x6x8,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.82, 0.75, 0.69, 0.65, 0.61]","['C', 'C', 'C', 'C', 'C']"
S-23948,Kraft Lightweight Shipping Box 6x6x9 (32 ECT Lightweight),https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.76, 0.69, 0.64, 0.57, 0.55]","['C', 'C', 'C', 'C', 'C']"
S-4834,Kraft Shipping Box 6x6x10,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.98, 0.87, 0.8, 0.7, 0.66]","['C', 'C', 'C', 'C', 'C']"
S-4343,Kraft Shipping Box 6x6x12 (Gallon Jug),https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[1.04, 0.91, 0.84, 0.74, 0.7]","['C', 'C', 'C', 'C', 'C']"
S-19832,Kraft Shipping Box 6x6x14,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[1.21, 1.1, 1.02, 0.98, 0.87]","['C', 'C', 'C', 'C', 'C']"
S-4133,Kraft Shipping Box 6x6x18,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[1.24, 1.11, 1.05, 1.0, 0.89]","['C', 'C', 'C', 'C', 'C']"
S-15026,Kraft Shipping Box 6x6x20,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[1.39, 1.24, 1.11, 1.08, 1.0]","['C', 'C', 'C', 'C', 'C']"
